repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
16,58,3,chronic,2,9,0.722,0.367,0.0,0.0,0.0
16,58,3,stage3,7,3,0.762,0.913,0.857,0.857,0.857
16,58,4,immune,2,6,0.75,0.7,0.4,0.333,0.5
16,58,4,chronic,2,8,0.562,0.31,0.0,0.0,0.0
16,58,4,stage3,5,5,0.28,0.544,0.462,0.375,0.6
17,59,0,immune,3,6,0.444,0.554,0.0,0.0,0.0
17,59,0,chronic,2,9,0.889,0.75,0.667,1.0,0.5
17,59,0,stage3,8,3,0.917,0.975,0.875,0.875,0.875
17,59,1,immune,3,6,0.667,0.5,0.0,0.0,0.0
17,59,1,chronic,2,9,0.667,0.333,0.0,0.0,0.0
17,59,1,stage3,7,3,0.905,0.962,0.857,0.857,0.857
17,59,2,immune,3,6,0.611,0.514,0.571,0.5,0.667
17,59,2,chronic,2,9,0.611,0.611,0.333,0.25,0.5
17,59,2,stage3,6,2,0.5,0.8,0.769,0.714,0.833
17,59,3,immune,3,6,0.722,0.556,0.4,0.5,0.333
17,59,3,chronic,2,9,0.778,0.417,0.4,0.333,0.5
17,59,3,stage3,7,4,0.714,0.797,0.824,0.7,1.0
17,59,4,immune,2,6,0.417,0.31,0.0,0.0,0.0
17,59,4,chronic,2,8,0.375,0.267,0.0,0.0,0.0
17,59,4,stage3,6,4,0.375,0.566,0.667,0.556,0.833
18,60,0,immune,3,6,0.611,0.444,0.571,0.5,0.667
18,60,0,chronic,2,9,0.556,0.361,0.0,0.0,0.0
18,60,0,stage3,7,3,0.429,0.738,0.4,0.667,0.286
18,60,1,immune,3,6,0.222,0.306,0.286,0.25,0.333
18,60,1,chronic,2,9,0.667,0.393,0.5,0.5,0.5
18,60,1,stage3,10,1,0.7,0.97,0.75,1.0,0.6
18,60,2,immune,3,6,0.444,0.369,0.286,0.25,0.333
18,60,2,chronic,2,9,0.722,0.367,0.0,0.0,0.0
18,60,2,stage3,5,5,0.52,0.531,0.667,0.571,0.8
18,60,3,immune,3,6,0.889,0.867,0.5,1.0,0.333
18,60,3,chronic,2,9,0.667,0.333,0.0,0.0,0.0
18,60,3,stage3,7,3,0.714,0.898,0.769,0.833,0.714
18,60,4,immune,2,6,0.75,0.7,0.333,0.25,0.5
18,60,4,chronic,2,8,0.875,0.75,0.667,1.0,0.5
18,60,4,stage3,5,4,0.5,0.731,0.6,0.6,0.6
19,61,0,immune,3,6,0.5,0.569,0.5,1.0,0.333
19,61,0,chronic,2,9,0.667,0.333,0.0,0.0,0.0
19,61,0,stage3,7,4,0.714,0.844,0.714,0.714,0.714
19,61,1,immune,3,6,0.667,0.5,0.5,0.4,0.667
19,61,1,chronic,2,9,0.889,0.583,0.571,0.4,1.0
19,61,1,stage3,8,2,0.5,0.852,0.364,0.667,0.25
19,61,2,immune,3,6,0.667,0.643,0.571,0.5,0.667
19,61,2,chronic,2,9,0.389,0.225,0.0,0.0,0.0
19,61,2,stage3,8,3,0.708,0.911,0.706,0.667,0.75
19,61,3,immune,3,6,0.556,0.592,0.5,1.0,0.333
19,61,3,chronic,2,9,0.722,0.367,0.0,0.0,0.0
19,61,3,stage3,8,3,0.375,0.736,0.625,0.625,0.625
19,61,4,immune,2,6,0.833,0.583,0.667,0.5,1.0
19,61,4,chronic,2,8,0.812,0.7,0.333,0.25,0.5
19,61,4,stage3,3,4,0.5,0.643,0.5,0.4,0.667
