slide_path,file_id,size,sha256
data/raw/wsi_he/30-11192_HE_f437c086.svs,f437c086-0bc2-4dcd-b843-6c623e598ee7,337462752,ce80646d6a74ba3048bbbc08d97c219169e7e56da7feaf0303d44cb6c4d8411f
data/raw/wsi_he/30-11197_HE_a3502254.svs,a3502254-e00e-4510-95b7-3f24e60a1cda,274208520,c9ef82efeb65cdaa6b54be3398fb53ec178e7231771d2f56328122f6e4362dc8
data/raw/wsi_he/30-11222_HE_f9b35a0a.svs,f9b35a0a-0019-4c43-9e2d-96653bac1fbb,286198542,3a5522a2ba93a6cf8835fc3a6a0158d4e0afdcb5676b0f94e653a32b20c14a31
data/raw/wsi_he/30-11240_HE_54fa043b.svs,54fa043b-37d9-49ea-992d-a5680bc2e8f6,262605444,92448d8d6a9e1050c37f9cbfe6b1afa64b1672acfa10d9970774096d253ab2a1
data/raw/wsi_he/30-11253_HE_e95c78a1.svs,e95c78a1-275a-4f96-bbb8-f28ea2b18a99,218296084,6eb8874079e4a51b172dc6f7b3432483ff2200bfee39fb2a376ed8680f88afce
data/raw/wsi_he/32-10003_HE_ec60d3dc.svs,ec60d3dc-67bf-4e51-bb0a-1f556126a64c,287412955,80f62391d9a3371852bf2c74b9540ce5698082cebcb71da2619c7ef6b4498ce2
data/raw/wsi_he/32-10034_HE_3351a1c0.svs,3351a1c0-972b-4b57-ba18-b1e5de11d56c,51750217,25d2438a70086f4475968010b44301bacab9001d7af0b46fb5daacc85589edf3
data/raw/wsi_he/32-10074_HE_a344f9bc.svs,a344f9bc-d741-4b80-81c5-c8a60a5b809b,68442127,f455c2765d4aca6aa2b4ceb106f6dbe129505f613e27a312e529f2089fe647af
data/raw/wsi_he/32-10205_HE_83e1462e.svs,83e1462e-86d3-4a11-9380-ab1b6d87f7b6,104327679,8ac0bd2e026ac1d8070eefd3473a1ff98bcaa74a8079ff0793d69065be530011
data/raw/wsi_he/32-10333_HE_5b1ae4c3.svs,5b1ae4c3-cc1d-4325-a5c4-355ac4bf3c0f,85231811,cda2e42a0d5fe0618b2151292cc8a30f91ef32a9fbea5b8379caaddb76f7ce63
data/raw/wsi_he/32-10346_HE_202d8fe5.svs,202d8fe5-0dae-4c57-860a-e088fc2556fe,80832433,8610f04648147a79bc7cbca32f59a33b9187f4ccb77e8ad6f2a07bed73c6b19b
data/raw/wsi_he/32-10419_HE_114ebf22.svs,114ebf22-f856-4e3f-8c10-737eb461f35b,33263085,02cbf8c68b722e38cee94f25b036a44cab7dd47d44dff4bec216e40e9e1f83b6
data/raw/wsi_he/32-10456_HE_b01a99a9.svs,b01a99a9-c225-49fd-afba-c64347f8ea0d,108222009,01e1d692c983132ba4ebbeba4a9fb6af8f43d81330516f820a23a574759a68aa
data/raw/wsi_he/32-10458_HE_5316facb.svs,5316facb-2eb7-4381-bd89-ffca63d4dfa3,100996549,8a5051dd9fbb58bcb6a4b569fef34aae636cf08aaba55bf46fd5da35ba7b3b63
data/raw/wsi_he/32-10459_HE_561d9312.svs,561d9312-e163-44ac-a7db-4cb9d7620d92,61803619,0e63ffe4e054c03eeb57566afe760055bc2e025c6fab5300b0ebc1f758d00ffb
data/raw/wsi_he/32-2_HE_c8e2ffe7.svs,c8e2ffe7-b5ad-48a2-a1bb-909cc6788ea2,83112527,61af68a204fa8f24c63cb84e8ca080a3a03d7d188db1b003112460c93ec49590
data/raw/wsi_he/33-10331_HE_4d040fd2.svs,4d040fd2-2e47-4328-a3bf-c6e30bd679a6,129390101,4ff52d46027f8a326b8488df9240f9381568f1c2f5da333cdf3bd3eaf5db33bc
data/raw/wsi_he/34-10184_HE_b190d933.svs,b190d933-bdbd-461a-9353-c91ded1d552e,44268125,c06989088060d1aaf5d2d7a02a9e44db0eda182bf6955fd9b21055dd7b33bef2
data/raw/wsi_he/34-10187_HE_52f5402d.svs,52f5402d-4135-4137-a8f3-26e91d6ded69,49140767,5b194bcef0321fe9e2211ad73a455563fbcff0ce335646ba518edeff30f170b2
