diagnosis,full,downloaded,coverage_%
ATI,31,31,100.0
AIN,14,14,100.0
DKD,9,9,100.0
HTN,1,1,100.0
FSGS,0,0,0.0
MCD,0,0,0.0
IgAN,0,0,0.0
MN,0,0,0.0
기타/미분류,31,28,90.3
