scenario,downloaded,target,needed_patients,available_in_aki,feasible_patients,needed_GB_if_existed,feasible_GB_in_aki,feasible
A: DKD/HTN 30,10,30,20,0,0,12.0,0.0,False
B: DKD/HTN 50,10,50,40,0,0,24.1,0.0,False
C: AIN 30,14,30,16,0,0,9.6,0.0,False
D: AIN 50,14,50,36,0,0,21.7,0.0,False
E: chronic+immune 동시(각50),24,100,76,0,0,45.7,0.0,False
