epoch,loss,HE_W_norm,HE_grad_norm,PAS_W_norm,PAS_grad_norm,MT_W_norm,MT_grad_norm,SILVER_W_norm,SILVER_grad_norm,IF_W_norm,IF_grad_norm
1,1.8274780054177557,12.344829499721527,0.0006048414537685533,12.138622164726257,0.0005594665785569727,12.093905806541443,0.0007504543412173754,13.600870966911316,0.0,13.63729476928711,0.0
2,1.7946666851639748,11.145994484424591,0.0009610483705760739,10.836530864238739,0.0006585695315420383,10.70809018611908,0.0008837493374948784,13.600870966911316,0.0,13.63729476928711,0.0
3,1.7708397800368922,10.11433082818985,0.0018114473761698946,9.674384355545044,0.0007731321008606074,9.494620323181152,0.0012432126009258582,13.600870966911316,0.0,13.63729476928711,0.0
4,1.7524485045245715,9.245922207832336,0.0035581094076146008,8.65541297197342,0.001247086019684421,8.460583090782166,0.0019080856703764329,13.600870966911316,0.0,13.63729476928711,0.0
5,1.7244717154119695,8.525125741958618,0.005459830457360633,7.7733113169670105,0.0015646757826804755,7.588764131069183,0.003014740926001228,13.600870966911316,0.0,13.63729476928711,0.0
6,1.699909997837884,7.937579393386841,0.009477381990515303,7.018996596336365,0.0018816837429288366,6.868453323841095,0.0037748539866900694,13.600870966911316,0.0,13.63729476928711,0.0
7,1.6562319999294621,7.4827112555503845,0.016844713226094297,6.3803070187568665,0.0023166976757441455,6.2834553718566895,0.00471744365749568,13.600870966911316,0.0,13.63729476928711,0.0
8,1.5960659650819642,7.170160472393036,0.036358719939536446,5.814271807670593,0.0019466169940268888,5.786332726478577,0.004296180790248627,13.600870966911316,0.0,13.63729476928711,0.0
9,1.5340234067823206,6.985180616378784,0.05854338924889037,5.303370475769043,0.0011879046392758244,5.350524306297302,0.0027923995225478393,13.600870966911316,0.0,13.63729476928711,0.0
10,1.4753895040069307,6.91684764623642,0.09372875364611641,4.859456479549408,0.0011798946604041508,4.973862648010254,0.0023878773593009684,13.600870966911316,0.0,13.63729476928711,0.0
11,1.4440002632992608,6.930275559425354,0.13823645637031795,4.467036128044128,0.0008827252394029626,4.641011357307434,0.0018055188168639397,13.600870966911316,0.0,13.63729476928711,0.0
12,1.3767493867448397,7.0212544202804565,0.1527722733756361,4.095476806163788,0.0006179029233217241,4.365924060344696,0.0017351055969661339,13.600870966911316,0.0,13.63729476928711,0.0
13,1.3358810280582734,7.169694900512695,0.20450048224198067,3.768264889717102,0.0005704499827712896,4.094311594963074,0.0014956067730825648,13.600870966911316,0.0,13.63729476928711,0.0
14,1.3048785265002931,7.3584277629852295,0.26316337397292955,3.487802743911743,0.000520798179731433,3.898041546344757,0.0017574232169660523,13.600870966911316,0.0,13.63729476928711,0.0
15,1.2331228886864014,7.601544141769409,0.2961275240169406,3.282527804374695,0.0009962700341950331,3.728653371334076,0.001634365781698526,13.600870966911316,0.0,13.63729476928711,0.0
16,1.1807445202554976,7.8509151339530945,0.3534770991910981,3.059897303581238,0.0007169676970184875,3.5546697974205017,0.0015896680305666727,13.600870966911316,0.0,13.63729476928711,0.0
17,1.139091989557658,8.159014880657196,0.43417049715727835,2.904419481754303,0.0008533803271808844,3.4153991639614105,0.0017447476080972382,13.600870966911316,0.0,13.63729476928711,0.0
18,1.0969249941408634,8.377626597881317,0.4856164289127004,2.7364992201328278,0.0007585927130447447,3.3745111227035522,0.0020688282095251104,13.600870966911316,0.0,13.63729476928711,0.0
19,1.0630993377417326,8.53732055425644,0.5310242556422183,2.6073513627052307,0.0009947364467340744,3.28694087266922,0.0017731306448572428,13.600870966911316,0.0,13.63729476928711,0.0
20,1.0246097724884748,8.685320317745209,0.5095873855077245,2.585792988538742,0.0010124120197048114,3.221901297569275,0.0019101175090770234,13.600870966911316,0.0,13.63729476928711,0.0
21,1.0041367930493184,8.820823967456818,0.5364446545032219,2.5876483023166656,0.0014440959173031484,3.151349753141403,0.0020260123272701136,13.600870966911316,0.0,13.63729476928711,0.0
22,0.9488961085943239,8.991552889347076,0.5409135390551195,2.5696640014648438,0.0013937667841982407,3.1409195959568024,0.002163092885622442,13.600870966911316,0.0,13.63729476928711,0.0
23,0.9102848644501397,9.180928766727448,0.6027292514128411,2.5390674471855164,0.0014090818000097119,3.0689097344875336,0.002088016051227675,13.600870966911316,0.0,13.63729476928711,0.0
24,0.8768862694767969,9.288656294345856,0.6140444008030629,2.5601548552513123,0.00164302326031012,3.0596492886543274,0.002612749979279627,13.600870966911316,0.0,13.63729476928711,0.0
25,0.8586443227582744,9.482207953929901,0.5999678680444569,2.5967213809490204,0.0023691344903714446,3.1281722486019135,0.002744749342563476,13.600870966911316,0.0,13.63729476928711,0.0
26,0.8450953448191285,9.594041585922241,0.5914702350502401,2.693290054798126,0.002451231344721805,3.1256083250045776,0.0028019142166132278,13.600870966911316,0.0,13.63729476928711,0.0
27,0.8065186409013612,9.692801058292389,0.591577277757876,2.6931583285331726,0.00232590634074573,3.1599058508872986,0.0028730184271819376,13.600870966911316,0.0,13.63729476928711,0.0
28,0.7756418854530368,9.773166477680206,0.6331620006905203,2.6320701837539673,0.0014451943506920933,3.2289072275161743,0.00327213107047505,13.600870966911316,0.0,13.63729476928711,0.0
29,0.7410945773922971,9.920165181159973,0.612830970525725,2.7197105884552,0.002455727426925997,3.215525448322296,0.0036044927975606355,13.600870966911316,0.0,13.63729476928711,0.0
30,0.7176340928833399,10.062238454818726,0.5857039069025112,2.764240801334381,0.0021799072509440165,3.269079089164734,0.0038944740964920654,13.600870966911316,0.0,13.63729476928711,0.0
31,0.7176384736916849,10.245043516159058,0.6223880342024911,2.7827978134155273,0.0016628721973432903,3.3150750398635864,0.004594661330587232,13.600870966911316,0.0,13.63729476928711,0.0
32,0.6819449633892093,10.389586925506592,0.6151020606588905,2.8421061635017395,0.003094708530258775,3.371744692325592,0.0038988148051657084,13.600870966911316,0.0,13.63729476928711,0.0
33,0.6438824458579931,10.479801535606384,0.5745104003726738,2.955294191837311,0.003330371363697436,3.393281936645508,0.0040805869898573755,13.600870966911316,0.0,13.63729476928711,0.0
34,0.627383846190891,10.638208746910095,0.5758976448352249,2.951411783695221,0.0023101061684402324,3.4840494990348816,0.004269780246296063,13.600870966911316,0.0,13.63729476928711,0.0
35,0.6160289511483695,10.777455568313599,0.5620512302765357,3.0055736899375916,0.0035059545132126247,3.521041989326477,0.004595700481007293,13.600870966911316,0.0,13.63729476928711,0.0
36,0.6014101654291153,10.908785223960876,0.6194549681843325,3.0698044300079346,0.0026783265223692915,3.588050901889801,0.004359548207359699,13.600870966911316,0.0,13.63729476928711,0.0
37,0.5717894445572581,10.996588945388794,0.47668630661376354,3.0746973156929016,0.0027615260664290986,3.5838481187820435,0.00378972405454357,13.600870966911316,0.0,13.63729476928711,0.0
38,0.5432250421893384,11.116454601287842,0.4808786345945139,3.1418305039405823,0.0029193047386927773,3.6139734983444214,0.004726369247228135,13.600870966911316,0.0,13.63729476928711,0.0
39,0.5198737250507942,11.24098813533783,0.5456974011280441,3.146064043045044,0.0030376186371268788,3.6240615844726562,0.0044820597457907296,13.600870966911316,0.0,13.63729476928711,0.0
40,0.5097037686168083,11.344889521598816,0.48142620593093205,3.164517819881439,0.0029001961994176944,3.7256153225898743,0.005256519978900531,13.600870966911316,0.0,13.63729476928711,0.0
41,0.5087245949544013,11.438808560371399,0.5071248435290597,3.1646982431411743,0.002302777533534441,3.7390117049217224,0.00516794760535344,13.600870966911316,0.0,13.63729476928711,0.0
42,0.49066930330757585,11.558160066604614,0.521683001992642,3.1687406301498413,0.0020387869900742673,3.7765868306159973,0.005625265292583309,13.600870966911316,0.0,13.63729476928711,0.0
43,0.4744049778341183,11.650494694709778,0.46389914814166594,3.1321974992752075,0.0030031016377206144,3.824098289012909,0.004927009570637139,13.600870966911316,0.0,13.63729476928711,0.0
44,0.442391720201288,11.735193610191345,0.33867866853584666,3.1785467863082886,0.004384431454484782,3.8393068313598633,0.00565501930358016,13.600870966911316,0.0,13.63729476928711,0.0
45,0.4386694950849882,11.827885270118713,0.45699554165808615,3.3626182079315186,0.007375272838927012,3.9257203340530396,0.005307719005993012,13.600870966911316,0.0,13.63729476928711,0.0
46,0.42575101032187895,11.911346077919006,0.40821963725777877,3.648732006549835,0.01196354933918339,3.9592080116271973,0.005539611236937644,13.600870966911316,0.0,13.63729476928711,0.0
47,0.4104874220543674,12.00099265575409,0.4480859067615321,3.690890848636627,0.008524289921823984,4.075786650180817,0.006147939185727662,13.600870966911316,0.0,13.63729476928711,0.0
48,0.38227964721487034,12.071401357650757,0.3749780044288075,3.6790499687194824,0.011362854221570145,4.14958918094635,0.005801419847356318,13.600870966911316,0.0,13.63729476928711,0.0
49,0.38330527807452847,12.126447677612305,0.3929606385146534,3.765198230743408,0.006471623373771861,4.246930122375488,0.006265140862702503,13.600870966911316,0.0,13.63729476928711,0.0
50,0.3568422723827617,12.200399041175842,0.3518920706275302,3.8884148597717285,0.011677194411765004,4.284835577011108,0.006213122898318245,13.600870966911316,0.0,13.63729476928711,0.0
